constituent_id,contact_id,amount,payment_date
2503,85012,50,2007-07-17
127,72381,50,2007-07-17
10948,73359,50,2007-07-17
7979,84398,50,2007-07-17
8514,85077,100,2007-07-17
2993,83700,100,2007-07-17
2384,74131,350,2007-07-17
3527,71246,600,2007-07-17
12495,82605,300,2007-07-17
8680,85013,350,2007-07-17
5932,84887,30,2007-07-24
12516,71220,100,2007-08-01
2166,72965,100,2007-08-01
12568,85935,50,2007-08-01
4633,70583,500,2007-08-01
12170,83934,100,2007-08-03
11710,72794,50,2007-08-03
7090,85000,250,2007-09-10
2107,71656,1,2007-09-10
7604,70439,75,2007-10-24
6446,85761,500,2007-11-08
6075,85686,1000,2007-11-08
9333,73243,1000,2007-11-08
12430,85792,500,2007-11-08
12056,73399,500,2007-11-08
12047,73403,1000,2007-11-14
3662,85760,500,2007-11-14
2175,73198,150,2007-11-28
12647,84049,500,2007-12-05
3668,85774,3000,2007-12-05
12504,86089,500,2007-12-05
3674,85787,500,2007-12-05
12418,70204,500,2007-12-05
9420,85385,160,2007-12-05
12714,70449,22151.65,2007-12-06
12714,70449,38364.22,2007-12-06
5194,73970,1000,2007-12-07
3343,70940,10000,2007-12-18
12584,70579,500,2007-12-18
12416,73884,200,2007-12-18
129,72392,250,2007-12-28
12518,85432,5500,2008-01-08
9481,84713,300,2008-01-08
12799,86488,150,2008-01-08
12800,70478,300,2008-01-08
12806,82943,300,2008-01-08
12807,72339,150,2008-01-08
12809,83524,150,2008-01-08
12814,72556,150,2008-01-08
12816,84668,150,2008-01-08
1077,83716,50,2008-01-15
235,73740,100,2008-01-15
11975,70558,200,2008-01-15
3579,83962,100,2008-01-15
6289,72231,500,2008-01-15
1013,82864,50,2008-01-15
8568,72757,50,2008-01-15
2206,73956,100,2008-01-15
46372,74159,100,2008-01-15
2384,74131,500,2008-01-15
4250,70919,10,2008-01-15
12514,83097,25,2008-01-18
6245,71694,50,2008-01-18
6202,70670,25,2008-01-18
2767,84447,25,2008-01-18
5355,73821,10,2008-01-18
2378,73725,250,2008-01-21
12523,86726,25,2008-02-05
12592,85756,1000,2008-02-22
6074,84222,500,2008-02-22
12826,73853,100,2008-02-26
5424,72947,75,2008-03-10
5424,72947,75,2008-03-10
5633,84608,250,2008-03-14
12746,73871,1000,2008-03-14
2141,72358,250,2008-03-21
4640,84138,1000,2008-03-31
11795,82587,50,2008-04-04
8111,74158,100,2008-04-04
5207,83325,4000,2008-05-19
12495,82605,300,2008-05-19
6154,70775,500,2008-05-19
12748,72588,5000,2008-05-19
12648,84460,50,2008-05-19
2128,72071,25,2008-05-19
46372,74159,50,2008-05-19
115,72236,200,2008-05-28
3278,82615,600,2008-05-28
6499,82612,100,2008-05-28
235,73740,100,2008-05-28
12516,71220,50,2008-05-28
11975,70558,50,2008-05-28
2993,83700,300,2008-05-30
5932,84887,25,2008-05-30
5932,84887,25,2008-05-30
5932,84887,30,2008-05-30
6289,72231,100,2008-06-03
7979,84398,50,2008-06-03
3775,86194,100,2008-06-30
3397,83702,100,2008-06-30
3527,71246,600,2008-07-02
11975,70558,75,2008-07-02
11975,70558,40,2008-07-08
3793,86408,25,2008-07-08
7604,70439,50,2008-07-15
2175,73198,150,2008-07-23
223,73368,2000,2008-07-29
12686,86690,30,2008-08-04
12648,84460,300,2008-08-04
14354,70690,20,2008-08-08
14359,73859,248,2008-08-18
8514,85077,100,2008-08-28
3653,85744,500,2008-11-12
12769,73404,500,2008-11-12
6075,85686,1000,2008-11-12
12056,73399,500,2008-11-12
14374,73500,60,2008-11-14
14376,85906,200,2008-11-14
3343,70940,10000,2008-11-25
14380,72450,10,2008-11-25
12768,73397,400,2008-11-25
2388,70572,500,2008-11-25
3662,85760,500,2008-11-25
14381,85758,1000,2008-11-25
9333,73243,1000,2008-11-25
129,72392,250,2008-12-22
14387,86215,58.78,2008-12-22
12584,70579,500,2008-12-23
12047,73403,1100,2008-12-23
12647,84049,400,2008-12-23
12429,71537,590,2008-12-23
3674,85787,500,2008-12-23
6446,85761,500,2008-12-23
3449,85771,240,2008-12-23
14393,71389,1690,2008-12-23
10913,73622,38.61,2009-01-07
2101,71458,50,2009-01-08
8111,74158,100,2009-01-08
12518,85432,5750,2009-01-12
12504,86089,500,2009-01-12
14396,86086,750,2009-01-12
12416,73884,500,2009-01-12
14397,85835,150,2009-01-12
12807,72339,150,2009-01-12
9481,84713,300,2009-01-12
12816,84668,150,2009-01-12
12806,82943,300,2009-01-12
12714,70449,42855.3,2009-01-13
12714,70449,862.5,2009-01-13
12714,70449,11665.86,2009-01-13
12714,70449,11665.86,2009-01-13
12714,70449,54298.59,2009-01-13
12714,70449,12699.58,2009-01-13
12714,70449,41319.56,2009-01-13
12714,70449,11665.86,2009-01-13
1077,83716,50,2009-01-15
10913,73622,65.17,2009-01-15
14424,71451,1000,2009-02-11
12592,85756,1000,2009-02-11
9420,85385,500,2009-02-11
14428,71696,50,2009-03-02
14429,71716,100,2009-03-02
2995,85244,500,2009-03-18
6786,71774,1000,2009-04-08
12418,70204,160,2009-04-08
5194,73970,1000,2009-04-08
5633,84608,250,2009-04-20
5447,83111,1000,2009-04-20
14446,73251,100,2009-04-20
11080,83964,25,2009-04-20
9994,82593,300,2009-04-21
8093,72941,100,2009-04-22
2384,74131,200,2009-04-29
4633,70583,250,2009-04-30
7090,85000,250,2009-05-07
10966,82986,100,2009-05-15
2271,82897,50,2009-05-15
3048,85014,150,2009-05-15
11856,83043,100,2009-05-15
3579,83962,100,2009-05-15
2063,70366,1000,2009-05-26
12545,83268,100,2009-05-26
117,72263,50,2009-05-26
7979,84398,50,2009-05-26
2085,82737,50,2009-05-26
4640,84138,1000,2009-05-26
3527,71246,600,2009-05-28
3278,82615,600,2009-05-28
223,73368,2000,2009-05-28
235,73740,100,2009-05-28
14483,73872,1500,2009-06-02
12714,70449,10882.86,2009-06-02
14491,84145,50,2009-06-05
2993,83700,75,2009-06-08
6289,72231,200,2009-06-11
7236,73705,250,2009-06-11
12516,71220,50,2009-06-11
14499,84349,150,2009-06-17
10235,73344,20,2009-06-17
5932,84887,25,2009-06-17
14501,71950,100,2009-06-25
14504,83667,50,2009-07-13
14518,70535,75,2009-07-13
14524,70537,200,2009-07-13
14526,70536,175,2009-07-13
14530,86479,250,2009-07-16
3775,86194,100,2009-07-16
2059,70732,6,2009-07-16
11975,70558,50,2009-07-27
8514,85077,100,2009-08-03
10235,73344,20,2009-08-11
12714,70449,51907.37,2009-08-18
115,72236,100,2009-08-31
10913,73622,50,2009-09-18
12047,73403,1000,2009-11-12
2388,70572,500,2009-11-12
9333,73243,1000,2009-11-16
10913,73622,50,2009-11-17
3674,85787,250,2009-11-23
9420,85385,500,2009-11-23
3343,70940,5000,2009-12-11
12429,71537,690,2009-12-11
6075,85686,1000,2009-12-11
6289,72231,250,2009-12-14
12056,73399,500,2009-12-16
12584,70579,500,2009-12-16
12592,85756,500,2009-12-16
12769,73404,500,2009-12-16
6446,85761,500,2009-12-16
12768,73397,500,2009-12-16
14393,71389,2275,2009-12-16
6538,70325,150,2009-12-18
129,72392,500,2009-12-18
2206,73956,100,2009-12-18
8111,74158,100,2009-12-21
14383,85190,50,2009-12-21
2754,82916,20,2009-12-21
5546,82905,100,2009-12-21
46109,73272,50,2009-12-21
11108,73292,10,2009-12-22
10913,73622,20,2009-12-23
12542,73398,100,2009-12-28
223,73368,1000,2009-12-28
3793,86408,25,2009-12-28
2175,73198,150,2009-12-28
8017,71619,50,2009-12-28
14569,83000,50,2009-12-29
14570,82608,300,2009-12-29
7386,70700,25,2010-01-06
7897,85384,500,2010-01-06
1077,83716,50,2010-01-06
46372,74159,200,2010-01-13
5194,73970,500,2010-01-13
12416,73884,500,2010-01-13
12504,86089,500,2010-01-13
12714,70449,29016.4,2010-01-22
12714,70449,13758.9,2010-01-22
10913,73622,145.2,2010-01-25
10913,73622,10,2010-01-25
10913,73622,25,2010-01-25
10239,71571,780,2010-01-26
12748,72588,1000,2010-01-26
3859,73991,500,2010-02-10
14638,71172,500,2010-02-10
6202,70670,25,2010-02-12
5447,83111,500,2010-02-12
12429,71537,20,2010-02-18
11421,85889,40,2010-02-18
7897,85384,40,2010-02-18
3579,83962,100,2010-02-18
3409,70460,500,2010-02-22
12647,84049,400,2010-02-22
4640,84138,1000,2010-02-26
6245,71694,50,2010-03-03
5633,84608,250,2010-03-03
14658,74118,142.5,2010-03-08
14659,73409,142.5,2010-03-08
7654,71427,40,2010-03-19
14671,83525,25,2010-03-19
3803,86585,25,2010-03-19
14673,82751,40,2010-03-19
8504,85505,20.84,2010-04-02
8504,85505,20.84,2010-04-02
2378,73725,500,2010-04-02
11795,82587,50,2010-04-14
12648,84460,100,2010-05-03
12501,85981,322,2010-05-03
12472,86378,25,2010-05-03
12714,70449,18824.26,2010-05-03
8504,85505,20.84,2010-05-03
6289,72231,100,2010-05-11
11119,85632,30,2010-05-27
235,73740,100,2010-05-27
3278,82615,1200,2010-05-27
2085,82737,50,2010-06-08
46372,74159,100,2010-06-08
8514,85077,150,2010-06-08
6289,72231,100,2010-06-18
223,73368,1000,2010-06-18
14570,82608,300,2010-06-18
3048,85014,350,2010-06-18
3527,71246,1000,2010-06-23
3275,82610,350,2010-06-23
12568,85935,50,2010-06-23
5546,82905,100,2010-06-23
11975,70558,50,2010-06-23
14702,70932,5000,2010-07-02
14491,84145,100,2010-07-09
6289,72231,100,2010-07-19
10948,73359,50,2010-08-04
1221,85171,30,2010-08-05
115,72236,20.83,2010-08-05
115,72236,20.83,2010-08-05
6289,72231,100,2010-08-19
12714,70449,35685.16,2010-08-19
1099,83865,25,2010-08-23
14526,70536,540,2010-08-23
115,72236,20.83,2010-09-08
1221,85171,30,2010-09-15
14671,83525,100,2010-09-15
6289,72231,100,2010-09-20
3775,86194,200,2010-10-05
115,72236,20.83,2010-10-05
12714,70449,20465.63,2010-10-11
6289,72231,100,2010-10-18
2984,72715,25,2010-10-18
10913,73622,25,2010-10-27
10913,73622,10.55,2010-10-27
10913,73622,12.89,2010-10-27
3394,85755,500,2010-11-01
115,72236,20.83,2010-11-05
14739,71306,30,2010-11-16
6289,72231,100,2010-11-18
46372,74159,100,2010-11-23
3579,83962,100,2010-12-01
129,72392,500,2010-12-01
6289,72231,100,2010-12-01
8111,74158,100,2010-12-01
5355,73821,10,2010-12-01
2206,73956,100,2010-12-01
7897,85384,500,2010-12-01
46109,73272,100,2010-12-01
5353,84580,50,2010-12-01
46372,74159,1000,2010-12-01
2754,82916,25,2010-12-01
2378,73725,500,2010-12-02
3674,85787,250,2010-12-02
6075,85686,1000,2010-12-02
5194,73970,1000,2010-12-02
12769,73404,500,2010-12-02
9333,73243,1000,2010-12-02
14673,82751,80,2010-12-02
3343,70940,5000,2010-12-02
6070,70735,1000,2010-12-02
14569,83000,30,2010-12-03
6245,71694,75,2010-12-06
2767,84447,25,2010-12-06
115,72236,20.83,2010-12-08
1013,82864,50,2010-12-09
2128,72071,25,2010-12-09
5640,85263,1000,2010-12-09
6202,70670,25,2010-12-09
10944,71768,250,2010-12-14
12568,85935,50,2010-12-14
5546,82905,100,2010-12-14
14778,86128,500,2010-12-14
12429,71537,815,2010-12-15
12056,73399,500,2010-12-15
14393,71389,2275,2010-12-15
14716,85438,100,2010-12-20
6738,73271,100,2010-12-20
12504,86089,500,2010-12-20
12592,85756,500,2010-12-20
6446,85761,500,2010-12-20
14491,84145,100,2010-12-20
14383,85190,50,2010-12-20
8017,71619,50,2010-12-22
6289,72231,100,2010-12-22
3303,82691,50,2010-12-27
12047,73403,1000,2010-12-27
12047,73403,500,2010-12-27
12047,73403,300,2010-12-27
993,85312,200,2010-12-30
6786,71774,1000,2010-12-30
1077,83716,50,2010-12-31
12542,73398,100,2010-12-31
993,85312,200,2011-01-04
2175,73198,150,2011-01-04
115,72236,20.83,2011-01-06
10913,73622,32.44,2011-01-14
14801,86321,1,2011-01-18
14801,86321,10,2011-01-18
11118,85201,10,2011-01-18
3859,73991,500,2011-01-18
6289,72231,100,2011-01-20
3653,85744,500,2011-02-02
12430,85792,80,2011-02-02
8348,74286,50,2011-02-02
10913,73622,10,2011-02-03
115,72236,20.83,2011-02-07
12416,73884,500,2011-02-11
12584,70579,500,2011-02-11
12495,82605,100,2011-02-11
1221,85171,30,2011-02-11
12714,70449,14418.06,2011-02-16
12714,70449,11556.25,2011-02-16
14060,84457,15,2011-02-17
7056,82699,80,2011-02-17
46109,73272,40,2011-02-17
12670,72603,1000,2011-02-17
7897,85384,500,2011-02-17
5447,83111,1000,2011-02-17
3048,85014,350,2011-02-18
6289,72231,100,2011-02-18
7090,85000,40,2011-02-21
5640,85263,1000,2011-02-21
10913,73622,50,2011-02-22
3315,82802,500,2011-02-25
14898,85897,300,2011-02-25
6323,70591,1000,2011-02-25
14901,73605,40,2011-02-28
11751,73395,500,2011-02-28
115,72236,20.83,2011-03-16
5828,83481,100,2011-03-16
14855,70754,3000,2011-03-16
6289,72231,100,2011-03-21
1099,83865,25,2011-03-21
7386,70700,50,2011-03-29
6154,70775,500,2011-03-29
4640,84138,1000,2011-04-06
11206,72744,100,2011-04-07
5207,83325,40,2011-04-07
14483,73872,3000,2011-04-07
115,72236,20.83,2011-04-08
11206,72744,100,2011-04-08
14927,83406,163,2011-04-19
14929,83407,63,2011-04-19
7654,71427,100,2011-04-19
6289,72231,100,2011-04-19
12648,84460,25,2011-05-03
14937,83877,25,2011-05-03
12568,85935,67,2011-05-03
14898,85897,50,2011-05-03
14898,85897,50,2011-05-03
12714,70449,18462.17,2011-05-03
14943,72628,25,2011-05-04
115,72236,20.83,2011-05-06
6538,70325,150,2011-05-06
11206,72744,100,2011-05-10
7654,71427,350,2011-05-10
2085,82737,25,2011-05-16
5546,82905,150,2011-05-16
3579,83962,75,2011-05-16
3274,82609,300,2011-05-16
3278,82615,1200,2011-05-16
1099,83865,37.5,2011-05-17
6289,72231,100,2011-05-18
10948,73359,50,2011-05-23
127,72381,75,2011-05-23
1129,84136,75,2011-05-23
6121,83856,75,2011-05-23
6245,71694,50,2011-05-23
14651,86429,225,2011-05-23
10913,73622,36.32,2011-05-26
115,72236,20.83,2011-06-06
11206,72744,100,2011-06-07
14974,72105,23,2011-06-08
3343,70940,578.6,2011-06-09
2993,83700,94,2011-06-10
14977,83522,150,2011-06-10
3775,86194,75,2011-06-10
2503,85012,75,2011-06-10
8514,85077,150,2011-06-10
2206,73956,150,2011-06-10
223,73368,500,2011-06-10
14979,83442,25,2011-06-10
3262,82590,150,2011-06-17
235,73740,150,2011-06-17
3527,71246,1000,2011-06-17
6289,72231,100,2011-06-20
14989,86820,100,2011-06-24
14989,86820,100,2011-06-24
14989,86820,150,2011-06-24
14992,73274,150,2011-06-28
207,73114,75,2011-06-28
11975,70558,50,2011-06-28
14994,83255,20,2011-06-29
14898,85897,50,2011-07-05
14898,85897,50,2011-07-05
115,72236,20.83,2011-07-05
11206,72744,100,2011-07-07
12714,70449,19051.47,2011-07-07
12714,70449,14418.06,2011-07-07
14987,74218,60,2011-07-07
14359,73859,125,2011-07-12
2175,73198,200,2011-07-13
6289,72231,100,2011-07-19
15003,70928,1050,2011-07-19
15005,70510,600,2011-07-19
993,85312,239.25,2011-07-19
11118,85201,200,2011-07-20
115,72236,20.83,2011-08-05
1317,86043,35,2011-08-05
11206,72744,100,2011-08-09
6289,72231,100,2011-08-18
6154,70775,300,2011-08-23
15037,72136,300,2011-08-23
14989,86820,150,2011-08-30
14898,85897,50,2011-08-31
115,72236,20.83,2011-09-07
11206,72744,100,2011-09-07
15003,70928,390,2011-09-15
6289,72231,100,2011-09-19
15055,73621,5279.97,2011-09-23
14898,85897,50,2011-10-04
14898,85897,50,2011-10-04
115,72236,20.83,2011-10-05
14898,85897,50,2011-10-06
15091,71132,210,2011-10-07
11206,72744,100,2011-10-07
6289,72231,100,2011-10-18
14989,86820,1500,2011-10-20
15178,84635,50,2011-10-31
3343,70940,5000,2011-10-31
12769,73404,500,2011-10-31
46372,74159,100,2011-10-31
3653,85744,500,2011-10-31
14898,85897,50,2011-11-01
14998,85720,80,2011-11-04
115,72236,20.83,2011-11-07
11206,72744,100,2011-11-07
12416,73884,500,2011-11-08
15005,70510,250,2011-11-08
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
7631,86599,41.67,2011-11-10
3048,85014,350,2011-11-14
3579,83962,100,2011-11-14
46109,73272,50,2011-11-14
14383,85190,50,2011-11-14
2754,82916,25,2011-11-14
2364,72627,10,2011-11-14
2750,82755,50,2011-11-14
2762,84026,75,2011-11-14
5357,74205,20,2011-11-14
2758,83797,20,2011-11-14
1099,83865,50,2011-11-14
6202,70670,25,2011-11-14
2767,84447,25,2011-11-14
2777,85163,25,2011-11-14
6289,72231,100,2011-11-18
3394,85755,500,2011-11-18
12647,84049,500,2011-11-18
2206,73956,150,2011-11-18
6245,71694,50,2011-11-18
4612,85888,10,2011-11-28
8832,70828,20,2011-11-28
12575,83183,10,2011-11-28
15282,70285,10,2011-11-28
14638,71172,150,2011-11-28
14898,85897,50,2011-12-01
129,72392,500,2011-12-02
14638,71172,500,2011-12-02
12568,85935,50,2011-12-02
127,72381,100,2011-12-02
10948,73359,50,2011-12-02
993,85312,100,2011-12-02
14979,83442,30,2011-12-02
115,72236,20.83,2011-12-05
5640,85263,1000,2011-12-06
11206,72744,100,2011-12-07
12584,70579,500,2011-12-14
2378,73725,500,2011-12-14
12716,74027,500,2011-12-14
15330,85657,600,2011-12-14
15331,86020,80,2011-12-14
3674,85787,250,2011-12-14
9420,85385,500,2011-12-14
9333,73243,1000,2011-12-14
15335,73873,1500,2011-12-14
15338,72300,90,2011-12-15
8111,74158,100,2011-12-15
9027,85898,25,2011-12-15
12111,82813,100,2011-12-15
6162,84860,50,2011-12-15
9020,74160,25,2011-12-15
223,73368,1000,2011-12-16
6289,72231,100,2011-12-19
993,85312,52.93,2011-12-19
2388,70572,1000,2011-12-19
12047,73403,1000,2011-12-28
6446,85761,500,2011-12-28
5194,73970,500,2011-12-28
6786,71774,1000,2011-12-29
14735,83072,25,2012-01-02
1077,83716,50,2012-01-02
14898,85897,50,2012-01-03
115,72236,20.83,2012-01-05
12056,73399,500,2012-01-05
14820,86244,2000,2012-01-06
11206,72744,100,2012-01-09
15091,71132,100,2012-01-16
6289,72231,100,2012-01-18
2384,74131,200,2012-01-18
15511,72466,120,2012-01-19
12714,70449,22325.56,2012-01-25
15471,83152,50,2012-01-27
15521,71819,500,2012-01-27
12592,85756,500,2012-01-27
7090,85000,40,2012-01-31
14901,73605,40,2012-01-31
3579,83962,100,2012-01-31
7897,85384,500,2012-01-31
14898,85897,50,2012-02-02
10494,71100,300,2012-02-03
3859,73991,1000,2012-02-03
223,73368,1000,2012-02-03
15522,83210,80,2012-02-03
10913,73622,40,2012-02-03
67,71286,80,2012-02-03
14855,70754,3000,2012-02-06
115,72236,20.83,2012-02-06
11206,72744,100,2012-02-07
129,72392,40,2012-02-07
6538,70325,80,2012-02-09
1221,85171,500,2012-02-09
15528,83871,80,2012-02-09
5633,84608,150,2012-02-09
1609,86654,80,2012-02-13
6738,73271,80,2012-02-13
6323,70591,500,2012-02-13
15531,70546,1555,2012-02-15
6289,72231,100,2012-02-20
15338,72300,120,2012-02-20
7056,82699,1000,2012-02-23
5828,83481,100,2012-02-23
4640,84138,1000,2012-02-23
9287,85749,160,2012-02-23
3327,83221,500,2012-02-23
14927,83406,25.9,2012-02-23
14929,83407,25.9,2012-02-23
1317,86043,100,2012-02-29
14898,85897,50,2012-03-01
14393,71389,2215,2012-03-01
13495,72275,80,2012-03-01
115,72236,20.83,2012-03-05
15534,83999,100,2012-03-05
15395,70189,3000,2012-03-06
11206,72744,100,2012-03-07
2141,72358,100,2012-03-13
15535,83164,4000,2012-03-13
6289,72231,100,2012-03-19
10305,82617,300,2012-03-20
3048,85014,350,2012-03-20
12495,82605,100,2012-03-20
15091,71132,100,2012-03-23
14898,85897,50,2012-04-02
115,72236,20.83,2012-04-09
11206,72744,100,2012-04-09
15546,85320,19,2012-04-17
15338,72300,175,2012-04-18
6289,72231,100,2012-04-18
3262,82590,300,2012-04-19
115,72236,20.83,2012-05-09
11206,72744,100,2012-05-09
14898,85897,50,2012-05-09
15338,72300,175,2012-05-11
10449,86667,200,2012-05-11
6289,72231,100,2012-05-18
15091,71132,310,2012-05-18
14526,70536,250,2012-05-21
15558,86227,300,2012-05-21
14898,85897,50,2012-06-01
115,72236,20.83,2012-06-05
10239,71571,1900,2012-06-06
12568,85935,250,2012-06-06
1129,84136,30,2012-06-06
235,73740,150,2012-06-06
11206,72744,100,2012-06-07
14994,83255,48,2012-06-07
15338,72300,175,2012-06-12
12714,70449,26465.93,2012-06-15
12714,70449,23255.16,2012-06-15
5095,85695,75,2012-06-15
10449,86667,150,2012-06-15
2206,73956,150,2012-06-15
1129,84136,37.5,2012-06-15
67,71286,75,2012-06-15
15578,71603,350,2012-06-15
6289,72231,100,2012-06-18
1099,83865,37.5,2012-06-26
3527,71246,1000,2012-06-26
6245,71694,75,2012-06-29
3775,86194,100,2012-06-29
1575,70514,150,2012-06-29
12685,86590,20,2012-06-29
14898,85897,50,2012-07-04
6121,83856,75,2012-07-04
11975,70558,50,2012-07-04
14977,83522,150,2012-07-04
7975,86796,75,2012-07-04
7633,84629,75,2012-07-04
2085,82737,25,2012-07-04
115,72236,20.83,2012-07-05
12648,84460,25,2012-07-05
11206,72744,100,2012-07-09
127,72381,150,2012-07-09
12714,70449,28305.69,2012-07-12
10948,73359,150,2012-07-12
8514,85077,150,2012-07-12
3579,83962,150,2012-07-12
5546,82905,300,2012-07-12
