Contact ID,Contact Name,GHL Contact ID,CSV Amount,CSV Date,CSV Source,Correct Donation ID,Correct Donation Date,Correct Donation Campaign,Orphan Donation ID,Orphan Date,Orphan Campaign,Orphan Campaign ID,Action
52563,Unknown,5KVQgGDzEGdQ3jso6sUa,10.00,2025-12-15,General Donation form With Recurring Donations,135966,2025-12-15,941,135981,2025-11-28,General Donation form With Recurring Donations and Manual Donations,942,Delete
52563,Unknown,5KVQgGDzEGdQ3jso6sUa,10.00,2025-12-15,General Donation form With Recurring Donations,135966,2025-12-15,941,135995,2025-11-22,General Donation form With Recurring Donations and Manual Donations,942,Delete
52563,Unknown,5KVQgGDzEGdQ3jso6sUa,10.00,2025-12-15,General Donation form With Recurring Donations,135966,2025-12-15,941,135491,2025-12-24,CF25,254,Delete
52379,Isaac Alfaks,NHsbwnYhYInjvWjewSHH,5000.00,2025-12-12,Rav Feinstein Donation Form - Copy,135967,2025-12-12,947,132610,2025-12-18,Rav Feinstein,859,Delete
39587,Trina Fleischmann,Vwoh1np1uJqzwCn0n8Lb,5.00,2025-12-12,Chanuka-CH25,132633,2025-12-12,None,133483,2025-09-29,None,,Delete
39587,Trina Fleischmann,Vwoh1np1uJqzwCn0n8Lb,5.00,2025-12-12,Chanuka-CH25,132633,2025-12-12,None,134704,2025-03-31,None,,Delete
39513,Batya Van Wijncoop,rEt4Q28N9pT3UZpwA9PN,72.00,2025-12-12,New General Donation form,132635,2025-12-12,None,134061,2025-06-13,None,,Delete
39513,Batya Van Wijncoop,rEt4Q28N9pT3UZpwA9PN,72.00,2025-12-12,New General Donation form,132635,2025-12-12,None,134876,2025-02-27,None,,Delete
28409,Ronald Ziff,VkxRdt35pxDx1sK3prNS,36.00,2025-12-11,Chanuka-CH25,132636,2025-12-11,None,133561,2025-09-18,None,,Delete
22153,Eddie Sherman,RDviMZQnbcFpj8QqWVaZ,54.00,2025-12-10,General Donation form With Recurring Donations and Manual Donations,132638,2025-12-10,None,101674,2025-03-28,Thanksgiving25,479,Transfer campaign then delete
34314,Sandra Wintman Welkes,UdIzgWZA5MV73jrjUtc1,36.00,2025-12-10,"Giving Tuesday ",132640,2025-12-10,None,133931,2025-07-09,None,,Delete
35472,Rose Kacenberg,z3nHmmEgfan63vsh2IQu,10.00,2025-12-10,Thanksgiving ,132642,2025-12-10,None,133550,2025-09-19,None,,Delete
35472,Rose Kacenberg,z3nHmmEgfan63vsh2IQu,10.00,2025-12-10,Thanksgiving ,132642,2025-12-10,None,134736,2025-03-26,None,,Delete
29702,Sol Herzig,kwIafh4BWSKUjOUvRcsP,50.00,2025-12-09,New Invoice,132646,2025-12-09,None,54404,2025-03-18,None,,Delete
29702,Sol Herzig,kwIafh4BWSKUjOUvRcsP,50.00,2025-12-09,New Invoice,132646,2025-12-09,None,134761,2025-03-21,None,,Delete
29340,Israel Sherman,k0wBxznsW2sNraVY4Uru,200.00,2025-12-09,New Invoice,132650,2025-12-09,None,51774,2025-06-10,None,,Delete
29340,Israel Sherman,k0wBxznsW2sNraVY4Uru,200.00,2025-12-09,New Invoice,132650,2025-12-09,None,51776,2025-04-07,None,,Delete
29340,Israel Sherman,k0wBxznsW2sNraVY4Uru,200.00,2025-12-09,New Invoice,132650,2025-12-09,None,51779,2025-01-13,None,,Delete
29340,Israel Sherman,k0wBxznsW2sNraVY4Uru,200.00,2025-12-09,New Invoice,132650,2025-12-09,None,100611,2025-11-06,Recurring,472,Transfer campaign then delete
29340,Israel Sherman,k0wBxznsW2sNraVY4Uru,200.00,2025-12-09,New Invoice,132650,2025-12-09,None,100632,2025-10-15,Recurring,472,Transfer campaign then delete
29340,Israel Sherman,k0wBxznsW2sNraVY4Uru,200.00,2025-12-09,New Invoice,132650,2025-12-09,None,100651,2025-09-09,Recurring,472,Transfer campaign then delete
29340,Israel Sherman,k0wBxznsW2sNraVY4Uru,200.00,2025-12-09,New Invoice,132650,2025-12-09,None,100683,2025-08-07,Recurring,472,Transfer campaign then delete
29340,Israel Sherman,k0wBxznsW2sNraVY4Uru,200.00,2025-12-09,New Invoice,132650,2025-12-09,None,100691,2025-07-08,Recurring,472,Transfer campaign then delete
29340,Israel Sherman,k0wBxznsW2sNraVY4Uru,200.00,2025-12-09,New Invoice,132650,2025-12-09,None,132795,2025-11-10,None,,Delete
29340,Israel Sherman,k0wBxznsW2sNraVY4Uru,200.00,2025-12-09,New Invoice,132650,2025-12-09,None,132941,2025-10-20,None,,Delete
29340,Israel Sherman,k0wBxznsW2sNraVY4Uru,200.00,2025-12-09,New Invoice,132650,2025-12-09,None,133599,2025-09-17,None,,Delete
29340,Israel Sherman,k0wBxznsW2sNraVY4Uru,200.00,2025-12-09,New Invoice,132650,2025-12-09,None,133722,2025-08-12,None,,Delete
29340,Israel Sherman,k0wBxznsW2sNraVY4Uru,200.00,2025-12-09,New Invoice,132650,2025-12-09,None,133868,2025-07-24,None,,Delete
29340,Israel Sherman,k0wBxznsW2sNraVY4Uru,200.00,2025-12-09,New Invoice,132650,2025-12-09,None,134040,2025-06-13,None,,Delete
29340,Israel Sherman,k0wBxznsW2sNraVY4Uru,200.00,2025-12-09,New Invoice,132650,2025-12-09,None,134192,2025-05-06,None,,Delete
29340,Israel Sherman,k0wBxznsW2sNraVY4Uru,200.00,2025-12-09,New Invoice,132650,2025-12-09,None,134403,2025-04-15,None,,Delete
29340,Israel Sherman,k0wBxznsW2sNraVY4Uru,200.00,2025-12-09,New Invoice,132650,2025-12-09,None,134799,2025-03-13,None,,Delete
30029,Mr. & Mrs. Bernard Perlowitz,LrCau6OHZdz8ZzcwOcBb,500.00,2025-12-03,New Invoice,132656,2025-12-03,None,99382,2025-10-02,Bergen25,458,Transfer campaign then delete
30029,Mr. & Mrs. Bernard Perlowitz,LrCau6OHZdz8ZzcwOcBb,500.00,2025-12-03,New Invoice,132656,2025-12-03,None,136100,2025-10-17,New Invoice,946,Delete
30029,Mr. & Mrs. Bernard Perlowitz,LrCau6OHZdz8ZzcwOcBb,500.00,2025-12-03,New Invoice,132656,2025-12-03,None,136310,2025-05-29,New General Donation form,943,Delete
28904,Rochelle Ackerman,IybuBtKuBbaLlwlQrLF9,18.00,2025-12-03,New Invoice,132660,2025-12-03,None,49015,2025-01-08,None,,Delete
27444,Mr. & Mrs. Ephraim Weingarten,Fesuqd6RnrSGG5Zaw8it,36.00,2025-12-03,New Invoice,132663,2025-12-03,475,134224,2025-05-05,Maos Chitim 2025,470,Delete
30625,Tzvi Hershfang,nat9e81z2Qdjd0CtuS2g,25.00,2025-12-03,New Invoice,132669,2025-12-03,None,60262,2025-04-09,None,,Delete
30625,Tzvi Hershfang,nat9e81z2Qdjd0CtuS2g,25.00,2025-12-03,New Invoice,132669,2025-12-03,None,134556,2025-04-14,None,,Delete
24710,Evan Krisch,n7rlU8Wfy3x2upQZAA3i,150.00,2025-12-03,New Invoice,132671,2025-12-03,None,22837,2025-04-20,None,,Delete
24710,Evan Krisch,n7rlU8Wfy3x2upQZAA3i,150.00,2025-12-03,New Invoice,132671,2025-12-03,None,22839,2025-02-24,None,,Delete
24710,Evan Krisch,n7rlU8Wfy3x2upQZAA3i,150.00,2025-12-03,New Invoice,132671,2025-12-03,None,22840,2025-01-16,None,,Delete
24710,Evan Krisch,n7rlU8Wfy3x2upQZAA3i,150.00,2025-12-03,New Invoice,132671,2025-12-03,None,100643,2025-09-23,Recurring,472,Transfer campaign then delete
24710,Evan Krisch,n7rlU8Wfy3x2upQZAA3i,150.00,2025-12-03,New Invoice,132671,2025-12-03,None,100663,2025-09-04,Recurring,472,Transfer campaign then delete
24710,Evan Krisch,n7rlU8Wfy3x2upQZAA3i,150.00,2025-12-03,New Invoice,132671,2025-12-03,None,100686,2025-07-29,Recurring,472,Transfer campaign then delete
24710,Evan Krisch,n7rlU8Wfy3x2upQZAA3i,150.00,2025-12-03,New Invoice,132671,2025-12-03,None,135882,2025-12-26,CH25,855,Delete
24710,Evan Krisch,n7rlU8Wfy3x2upQZAA3i,150.00,2025-12-03,New Invoice,132671,2025-12-03,None,132896,2025-10-23,None,,Delete
24710,Evan Krisch,n7rlU8Wfy3x2upQZAA3i,150.00,2025-12-03,New Invoice,132671,2025-12-03,None,133433,2025-09-30,None,,Delete
24710,Evan Krisch,n7rlU8Wfy3x2upQZAA3i,150.00,2025-12-03,New Invoice,132671,2025-12-03,None,133636,2025-09-09,None,,Delete
24710,Evan Krisch,n7rlU8Wfy3x2upQZAA3i,150.00,2025-12-03,New Invoice,132671,2025-12-03,None,133739,2025-08-12,None,,Delete
24710,Evan Krisch,n7rlU8Wfy3x2upQZAA3i,150.00,2025-12-03,New Invoice,132671,2025-12-03,None,134122,2025-05-23,None,,Delete
24710,Evan Krisch,n7rlU8Wfy3x2upQZAA3i,150.00,2025-12-03,New Invoice,132671,2025-12-03,None,134311,2025-04-25,None,,Delete
24710,Evan Krisch,n7rlU8Wfy3x2upQZAA3i,150.00,2025-12-03,New Invoice,132671,2025-12-03,None,134734,2025-03-26,None,,Delete
24710,Evan Krisch,n7rlU8Wfy3x2upQZAA3i,150.00,2025-12-03,New Invoice,132671,2025-12-03,None,134864,2025-03-04,None,,Delete
24710,Evan Krisch,n7rlU8Wfy3x2upQZAA3i,150.00,2025-12-03,New Invoice,132671,2025-12-03,None,136289,2025-07-02,New Invoice,946,Delete
24543,Philip Kazlow,6F8li2ijC7g7SLoBkej9,1000.00,2025-12-03,New Invoice,132677,2025-12-03,None,21741,2025-06-19,None,,Delete
24543,Philip Kazlow,6F8li2ijC7g7SLoBkej9,1000.00,2025-12-03,New Invoice,132677,2025-12-03,None,21742,2025-04-23,None,,Delete
24543,Philip Kazlow,6F8li2ijC7g7SLoBkej9,1000.00,2025-12-03,New Invoice,132677,2025-12-03,None,99375,2025-09-18,Bergen25,458,Transfer campaign then delete
24543,Philip Kazlow,6F8li2ijC7g7SLoBkej9,1000.00,2025-12-03,New Invoice,132677,2025-12-03,None,101201,2025-10-02,RH25,475,Delete
24543,Philip Kazlow,6F8li2ijC7g7SLoBkej9,1000.00,2025-12-03,New Invoice,132677,2025-12-03,None,133104,2025-10-17,None,,Delete
24543,Philip Kazlow,6F8li2ijC7g7SLoBkej9,1000.00,2025-12-03,New Invoice,132677,2025-12-03,None,133457,2025-09-29,None,,Delete
24543,Philip Kazlow,6F8li2ijC7g7SLoBkej9,1000.00,2025-12-03,New Invoice,132677,2025-12-03,None,133995,2025-06-23,None,,Delete
24543,Philip Kazlow,6F8li2ijC7g7SLoBkej9,1000.00,2025-12-03,New Invoice,132677,2025-12-03,None,134274,2025-04-28,None,,Delete
31937,Mr. & Mrs. Norman Schmutter,qJW9xz4h2CtyWHuk4Nh9,1800.00,2025-12-03,New Invoice,132678,2025-12-03,None,99376,2025-09-01,Bergen25,458,Transfer campaign then delete
31937,Mr. & Mrs. Norman Schmutter,qJW9xz4h2CtyWHuk4Nh9,1800.00,2025-12-03,New Invoice,132678,2025-12-03,None,99387,2025-09-30,Bergen25,458,Transfer campaign then delete
31937,Mr. & Mrs. Norman Schmutter,qJW9xz4h2CtyWHuk4Nh9,1800.00,2025-12-03,New Invoice,132678,2025-12-03,None,99418,2025-07-29,CF25,254,Delete
31937,Mr. & Mrs. Norman Schmutter,qJW9xz4h2CtyWHuk4Nh9,1800.00,2025-12-03,New Invoice,132678,2025-12-03,None,99835,2025-05-29,GD25,462,Delete
31937,Mr. & Mrs. Norman Schmutter,qJW9xz4h2CtyWHuk4Nh9,1800.00,2025-12-03,New Invoice,132678,2025-12-03,None,99836,2025-04-29,GD25,462,Delete
31937,Mr. & Mrs. Norman Schmutter,qJW9xz4h2CtyWHuk4Nh9,1800.00,2025-12-03,New Invoice,132678,2025-12-03,None,99871,2025-03-31,GD25,462,Delete
31937,Mr. & Mrs. Norman Schmutter,qJW9xz4h2CtyWHuk4Nh9,1800.00,2025-12-03,New Invoice,132678,2025-12-03,None,99992,2025-02-25,GD25,462,Delete
31937,Mr. & Mrs. Norman Schmutter,qJW9xz4h2CtyWHuk4Nh9,1800.00,2025-12-03,New Invoice,132678,2025-12-03,None,132864,2025-10-31,None,,Delete
31937,Mr. & Mrs. Norman Schmutter,qJW9xz4h2CtyWHuk4Nh9,1800.00,2025-12-03,New Invoice,132678,2025-12-03,None,133281,2025-10-05,None,,Delete
31937,Mr. & Mrs. Norman Schmutter,qJW9xz4h2CtyWHuk4Nh9,1800.00,2025-12-03,New Invoice,132678,2025-12-03,None,133642,2025-09-09,None,,Delete
31937,Mr. & Mrs. Norman Schmutter,qJW9xz4h2CtyWHuk4Nh9,1800.00,2025-12-03,New Invoice,132678,2025-12-03,None,133750,2025-08-12,None,,Delete
31937,Mr. & Mrs. Norman Schmutter,qJW9xz4h2CtyWHuk4Nh9,1800.00,2025-12-03,New Invoice,132678,2025-12-03,None,133943,2025-07-02,None,,Delete
31937,Mr. & Mrs. Norman Schmutter,qJW9xz4h2CtyWHuk4Nh9,1800.00,2025-12-03,New Invoice,132678,2025-12-03,None,134093,2025-06-04,None,,Delete
31937,Mr. & Mrs. Norman Schmutter,qJW9xz4h2CtyWHuk4Nh9,1800.00,2025-12-03,New Invoice,132678,2025-12-03,None,134239,2025-05-05,None,,Delete
31937,Mr. & Mrs. Norman Schmutter,qJW9xz4h2CtyWHuk4Nh9,1800.00,2025-12-03,New Invoice,132678,2025-12-03,None,134627,2025-04-09,None,,Delete
31937,Mr. & Mrs. Norman Schmutter,qJW9xz4h2CtyWHuk4Nh9,1800.00,2025-12-03,New Invoice,132678,2025-12-03,None,134834,2025-03-12,None,,Delete
31937,Mr. & Mrs. Norman Schmutter,qJW9xz4h2CtyWHuk4Nh9,1800.00,2025-12-03,New Invoice,132678,2025-12-03,None,134861,2025-03-04,None,,Delete
28913,Mr. & Mrs. Joseph Hoch,iYwrqKrjtAOtdUeJEBS2,150.00,2025-12-03,New Invoice,132680,2025-12-03,None,99821,2025-05-31,GD25,462,Transfer campaign then delete
28913,Mr. & Mrs. Joseph Hoch,iYwrqKrjtAOtdUeJEBS2,150.00,2025-12-03,New Invoice,132680,2025-12-03,None,100154,2025-09-02,Maos Chitim 2025,470,Delete
28913,Mr. & Mrs. Joseph Hoch,iYwrqKrjtAOtdUeJEBS2,150.00,2025-12-03,New Invoice,132680,2025-12-03,None,100292,2025-05-01,Maos Chitim 2025,470,Delete
28913,Mr. & Mrs. Joseph Hoch,iYwrqKrjtAOtdUeJEBS2,150.00,2025-12-03,New Invoice,132680,2025-12-03,None,100613,2025-10-01,Recurring,472,Delete
28913,Mr. & Mrs. Joseph Hoch,iYwrqKrjtAOtdUeJEBS2,150.00,2025-12-03,New Invoice,132680,2025-12-03,None,100684,2025-08-03,Recurring,472,Delete
28913,Mr. & Mrs. Joseph Hoch,iYwrqKrjtAOtdUeJEBS2,150.00,2025-12-03,New Invoice,132680,2025-12-03,None,132825,2025-11-05,None,,Delete
28913,Mr. & Mrs. Joseph Hoch,iYwrqKrjtAOtdUeJEBS2,150.00,2025-12-03,New Invoice,132680,2025-12-03,None,133218,2025-10-05,None,,Delete
28913,Mr. & Mrs. Joseph Hoch,iYwrqKrjtAOtdUeJEBS2,150.00,2025-12-03,New Invoice,132680,2025-12-03,None,133641,2025-09-09,None,,Delete
28913,Mr. & Mrs. Joseph Hoch,iYwrqKrjtAOtdUeJEBS2,150.00,2025-12-03,New Invoice,132680,2025-12-03,None,133726,2025-08-12,None,,Delete
28913,Mr. & Mrs. Joseph Hoch,iYwrqKrjtAOtdUeJEBS2,150.00,2025-12-03,New Invoice,132680,2025-12-03,None,133944,2025-07-02,None,,Delete
28913,Mr. & Mrs. Joseph Hoch,iYwrqKrjtAOtdUeJEBS2,150.00,2025-12-03,New Invoice,132680,2025-12-03,None,134071,2025-06-11,None,,Delete
28913,Mr. & Mrs. Joseph Hoch,iYwrqKrjtAOtdUeJEBS2,150.00,2025-12-03,New Invoice,132680,2025-12-03,None,134228,2025-05-05,None,,Delete
52549,Unknown,h7yVAlzNbwpFJDP313aL,360.00,2025-12-02,"Giving Tuesday ",135976,2025-12-02,858,135466,2025-12-22,CH25,855,Delete
52549,Unknown,h7yVAlzNbwpFJDP313aL,360.00,2025-12-02,"Giving Tuesday ",135976,2025-12-02,858,136456,2025-04-08,Passover Form,967,Delete
39453,Howard Shatz,JdWtYHljsa8k3b90QYih,180.00,2025-12-02,"Giving Tuesday ",132691,2025-12-02,None,134700,2025-03-31,None,,Delete
52563,Unknown,5KVQgGDzEGdQ3jso6sUa,10.00,2025-12-01,New Invoice,135978,2025-12-01,946,135966,2025-12-15,General Donation form With Recurring Donations,941,Delete
52563,Unknown,5KVQgGDzEGdQ3jso6sUa,10.00,2025-12-01,New Invoice,135978,2025-12-01,946,135981,2025-11-28,General Donation form With Recurring Donations and Manual Donations,942,Delete
52563,Unknown,5KVQgGDzEGdQ3jso6sUa,10.00,2025-12-01,New Invoice,135978,2025-12-01,946,135995,2025-11-22,General Donation form With Recurring Donations and Manual Donations,942,Delete
52563,Unknown,5KVQgGDzEGdQ3jso6sUa,10.00,2025-12-01,New Invoice,135978,2025-12-01,946,135491,2025-12-24,CF25,254,Delete
52561,Jonathan Ely,YgtMcuEWu2snFWO2aOa5,18.00,2025-12-01,New Invoice,135979,2025-12-01,946,135487,2025-12-24,CF25,254,Delete
52561,Jonathan Ely,YgtMcuEWu2snFWO2aOa5,18.00,2025-12-01,New Invoice,135979,2025-12-01,946,136353,2025-04-16,Thanksgiving,949,Delete
32921,Pastor Terry Kirk,SXP6RWGBFTGKwIsNWdWg,2500.00,2025-12-01,New Invoice,132727,2025-12-01,None,99476,2025-06-25,CF25,254,Transfer campaign then delete
32921,Pastor Terry Kirk,SXP6RWGBFTGKwIsNWdWg,2500.00,2025-12-01,New Invoice,132727,2025-12-01,None,101573,2025-09-23,RH25,475,Delete
32921,Pastor Terry Kirk,SXP6RWGBFTGKwIsNWdWg,2500.00,2025-12-01,New Invoice,132727,2025-12-01,None,101576,2025-09-14,RH25,475,Delete
32921,Pastor Terry Kirk,SXP6RWGBFTGKwIsNWdWg,2500.00,2025-12-01,New Invoice,132727,2025-12-01,None,133447,2025-09-29,None,,Delete
32921,Pastor Terry Kirk,SXP6RWGBFTGKwIsNWdWg,2500.00,2025-12-01,New Invoice,132727,2025-12-01,None,133590,2025-09-17,None,,Delete
32921,Pastor Terry Kirk,SXP6RWGBFTGKwIsNWdWg,2500.00,2025-12-01,New Invoice,132727,2025-12-01,None,133963,2025-07-02,None,,Delete
24673,Robert Neuman,6yw7NqQmSgLMKqvtDBEz,300.00,2025-12-01,New Invoice,132728,2025-12-01,None,101613,2025-09-14,RMKSPL25,477,Transfer campaign then delete
24673,Robert Neuman,6yw7NqQmSgLMKqvtDBEz,300.00,2025-12-01,New Invoice,132728,2025-12-01,None,101614,2025-09-04,RMKSPL25,477,Transfer campaign then delete
24673,Robert Neuman,6yw7NqQmSgLMKqvtDBEz,300.00,2025-12-01,New Invoice,132728,2025-12-01,None,101619,2025-07-17,RMKSPL25,477,Transfer campaign then delete
24673,Robert Neuman,6yw7NqQmSgLMKqvtDBEz,300.00,2025-12-01,New Invoice,132728,2025-12-01,None,101622,2025-06-23,RMKSPL25,477,Transfer campaign then delete
24673,Robert Neuman,6yw7NqQmSgLMKqvtDBEz,300.00,2025-12-01,New Invoice,132728,2025-12-01,None,133589,2025-09-17,None,,Delete
24673,Robert Neuman,6yw7NqQmSgLMKqvtDBEz,300.00,2025-12-01,New Invoice,132728,2025-12-01,None,133635,2025-09-09,None,,Delete
24673,Robert Neuman,6yw7NqQmSgLMKqvtDBEz,300.00,2025-12-01,New Invoice,132728,2025-12-01,None,133819,2025-08-05,None,,Delete
24673,Robert Neuman,6yw7NqQmSgLMKqvtDBEz,300.00,2025-12-01,New Invoice,132728,2025-12-01,None,133965,2025-07-02,None,,Delete
24673,Robert Neuman,6yw7NqQmSgLMKqvtDBEz,300.00,2025-12-01,New Invoice,132728,2025-12-01,None,134113,2025-05-23,None,,Delete
25418,Eliezer Goldstein,AebsGdnEzii1h59wDGXd,5.00,2025-12-01,New Invoice,132733,2025-12-01,None,27226,2025-03-09,None,,Delete
25418,Eliezer Goldstein,AebsGdnEzii1h59wDGXd,5.00,2025-12-01,New Invoice,132733,2025-12-01,None,135932,2025-12-29,CH25,855,Transfer campaign then delete
25418,Eliezer Goldstein,AebsGdnEzii1h59wDGXd,5.00,2025-12-01,New Invoice,132733,2025-12-01,None,136479,2025-03-12,New Invoice,946,Delete
52156,Norman Linzer,3HE72vxO5y8e97EB7jH2,100.00,2025-12-01,Subscription for norman linzer,132736,2025-12-01,None,132847,2025-11-01,None,,Delete
52156,Norman Linzer,3HE72vxO5y8e97EB7jH2,100.00,2025-12-01,Subscription for norman linzer,132736,2025-12-01,None,133353,2025-10-01,None,,Delete
52156,Norman Linzer,3HE72vxO5y8e97EB7jH2,100.00,2025-12-01,Subscription for norman linzer,132736,2025-12-01,None,133652,2025-09-01,None,,Delete
52156,Norman Linzer,3HE72vxO5y8e97EB7jH2,100.00,2025-12-01,Subscription for norman linzer,132736,2025-12-01,None,133831,2025-08-01,None,,Delete
52156,Norman Linzer,3HE72vxO5y8e97EB7jH2,100.00,2025-12-01,Subscription for norman linzer,132736,2025-12-01,None,134047,2025-06-13,None,,Delete
52156,Norman Linzer,3HE72vxO5y8e97EB7jH2,100.00,2025-12-01,Subscription for norman linzer,132736,2025-12-01,None,134163,2025-05-14,None,,Delete
52156,Norman Linzer,3HE72vxO5y8e97EB7jH2,100.00,2025-12-01,Subscription for norman linzer,132736,2025-12-01,None,134559,2025-04-14,None,,Delete
52156,Norman Linzer,3HE72vxO5y8e97EB7jH2,100.00,2025-12-01,Subscription for norman linzer,132736,2025-12-01,None,134801,2025-03-13,None,,Delete
52563,Unknown,5KVQgGDzEGdQ3jso6sUa,10.00,2025-11-28,General Donation form With Recurring Donations and Manual Donations,135981,2025-11-28,942,135966,2025-12-15,General Donation form With Recurring Donations,941,Delete
52563,Unknown,5KVQgGDzEGdQ3jso6sUa,10.00,2025-11-28,General Donation form With Recurring Donations and Manual Donations,135981,2025-11-28,942,135978,2025-12-01,New Invoice,946,Delete
52563,Unknown,5KVQgGDzEGdQ3jso6sUa,10.00,2025-11-28,General Donation form With Recurring Donations and Manual Donations,135981,2025-11-28,942,135995,2025-11-22,General Donation form With Recurring Donations and Manual Donations,942,Delete
52563,Unknown,5KVQgGDzEGdQ3jso6sUa,10.00,2025-11-28,General Donation form With Recurring Donations and Manual Donations,135981,2025-11-28,942,135491,2025-12-24,CF25,254,Delete
28924,Mr. & Mrs. Gary Klein,IzxdplYonr1fK5u3eOaw,100.00,2025-11-26,New Invoice,135982,2025-11-26,946,132512,2025-11-19,RH25,475,Delete
30246,Larry Latham,MCJdMJdeM93ygP2IgvcR,218.00,2025-11-26,New Invoice,132738,2025-11-26,None,57476,2025-05-20,None,,Delete
30246,Larry Latham,MCJdMJdeM93ygP2IgvcR,218.00,2025-11-26,New Invoice,132738,2025-11-26,None,57479,2025-01-17,None,,Delete
30246,Larry Latham,MCJdMJdeM93ygP2IgvcR,218.00,2025-11-26,New Invoice,132738,2025-11-26,None,100644,2025-09-21,Recurring,472,Transfer campaign then delete
30246,Larry Latham,MCJdMJdeM93ygP2IgvcR,218.00,2025-11-26,New Invoice,132738,2025-11-26,None,100665,2025-08-19,Recurring,472,Transfer campaign then delete
30246,Larry Latham,MCJdMJdeM93ygP2IgvcR,218.00,2025-11-26,New Invoice,132738,2025-11-26,None,100696,2025-07-21,Recurring,472,Transfer campaign then delete
30246,Larry Latham,MCJdMJdeM93ygP2IgvcR,218.00,2025-11-26,New Invoice,132738,2025-11-26,None,135929,2025-12-29,Monthly,854,Delete
30246,Larry Latham,MCJdMJdeM93ygP2IgvcR,218.00,2025-11-26,New Invoice,132738,2025-11-26,None,132525,2025-11-19,ID 736,736,Delete
