db_id,contact_id,amount,payment_date,campaign_id,category_id,payment_method,notes
164965,71694,20.00,2006-02-09,1082,77,Cash,Donation | Imported from RE | constituentId: 6245
165063,74131,105.00,2006-11-29,1082,89,Cash,Donation | Imported from RE | constituentId: 2384
165064,85435,500.00,2006-11-29,1082,89,Cash,Donation | Imported from RE | constituentId: 7448
165065,85013,2000.00,2006-11-29,1082,89,Cash,Donation | Imported from RE | constituentId: 8680
165066,73705,100.00,2006-11-29,1082,89,Cash,Donation | Imported from RE | constituentId: 7236
165067,85384,1000.00,2006-11-29,1082,89,Cash,Donation | Imported from RE | constituentId: 7897
165068,71458,50.00,2006-11-29,1082,89,Cash,Donation | Imported from RE | constituentId: 2101
165069,85792,500.00,2006-11-29,,132,Cash,Donation | Imported from RE | constituentId: 12430
165070,70204,500.00,2006-11-29,,132,Cash,Donation | Imported from RE | constituentId: 12418
165071,85761,500.00,2006-11-29,,132,Cash,Donation | Imported from RE | constituentId: 6446
165072,85686,1000.00,2006-11-29,,132,Cash,Donation | Imported from RE | constituentId: 6075
165073,85787,500.00,2006-11-29,,132,Cash,Donation | Imported from RE | constituentId: 3674
165074,85734,1000.00,2006-11-29,,132,Cash,Donation | Imported from RE | constituentId: 6445
165075,73399,500.00,2006-11-29,,132,Cash,Donation | Imported from RE | constituentId: 12056
165076,73403,1000.00,2006-11-29,,132,Cash,Donation | Imported from RE | constituentId: 12047
165077,85432,5000.00,2006-11-29,,132,Cash,Donation | Imported from RE | constituentId: 12518
165078,70550,2500.00,2006-11-29,,132,Cash,Donation | Imported from RE | constituentId: 12148
165079,71694,25.00,2007-01-03,1082,74,Cash,Donation | Imported from RE | constituentId: 6245
165080,86690,30.00,2007-01-03,1082,74,Cash,Donation | Imported from RE | constituentId: 12686
165081,71656,5.00,2007-01-03,1082,74,Cash,Donation | Imported from RE | constituentId: 2107
165082,83962,100.00,2007-01-03,1082,74,Cash,Donation | Imported from RE | constituentId: 3579
165083,86654,100.00,2007-01-03,1082,74,Cash,Donation | Imported from RE | constituentId: 1609
165084,72392,500.00,2007-01-03,1082,80,Cash,Donation | Imported from RE | constituentId: 129
165085,84066,25.00,2007-01-03,1082,87,Cash,Donation | Imported from RE | constituentId: 1113
165086,71537,758.00,2007-01-03,,132,Cash,Donation | Imported from RE | constituentId: 12429
165087,85385,160.00,2007-01-03,,132,Cash,Donation | Imported from RE | constituentId: 9420
165088,70940,10000.00,2007-01-03,,132,Cash,Donation | Imported from RE | constituentId: 3343
165089,86089,500.00,2007-01-03,,132,Cash,Donation | Imported from RE | constituentId: 12504
165090,70513,80.00,2007-01-03,,132,Cash,Donation | Imported from RE | constituentId: 5431
165091,85710,20.00,2007-01-03,,132,Cash,Donation | Imported from RE | constituentId: 12719
165092,73974,1500.00,2007-01-03,,132,Cash,Donation | Imported from RE | constituentId: 12722
165093,73970,1000.00,2007-01-03,,132,Cash,Donation | Imported from RE | constituentId: 5194
165094,73243,1000.00,2007-01-03,,132,Cash,Donation | Imported from RE | constituentId: 9333
165095,85760,160.00,2007-01-03,,132,Cash,Donation | Imported from RE | constituentId: 3662
165096,86280,500.00,2007-01-03,,132,Cash,Donation | Imported from RE | constituentId: 5216
165097,73884,500.00,2007-01-03,,132,Cash,Donation | Imported from RE | constituentId: 12416
165098,83291,160.00,2007-01-03,,132,Cash,Donation | Imported from RE | constituentId: 12723
165099,71286,3500.00,2007-02-12,1082,80,Cash,Donation | Imported from RE | constituentId: 67
165100,85013,325.00,2007-03-06,1082,77,Cash,Donation | Imported from RE | constituentId: 8680
165101,86381,25.00,2007-03-06,1082,77,Cash,Donation | Imported from RE | constituentId: 11898
165102,85888,10.00,2007-03-06,1082,77,Cash,Donation | Imported from RE | constituentId: 4612
165103,85237,20.00,2007-03-06,1082,77,Cash,Donation | Imported from RE | constituentId: 1235
165104,73412,50.00,2007-03-06,1082,77,Cash,Donation | Imported from RE | constituentId: 11871
165105,86445,50.00,2007-03-06,1082,77,Cash,Donation | Imported from RE | constituentId: 12023
165106,86726,25.00,2007-03-06,1082,77,Cash,Donation | Imported from RE | constituentId: 12523
165107,85456,25.00,2007-03-06,1082,79,Cash,Donation | Imported from RE | constituentId: 5452
165108,70449,9689.94,2007-03-06,1082,147,Cash,Donation | Imported from RE | constituentId: 12714
165109,73114,100.00,2007-03-06,1082,80,Cash,Donation | Imported from RE | constituentId: 207
165110,82691,100.00,2007-03-06,1082,80,Cash,Donation | Imported from RE | constituentId: 3303
165111,73272,100.00,2007-03-06,1082,89,Cash,Donation | Imported from RE | constituentId: 46109
165112,73398,100.00,2007-03-06,1082,89,Cash,Donation | Imported from RE | constituentId: 12542
165113,74158,500.00,2007-03-06,1083,97,Cash,Donation | Imported from RE | constituentId: 8111
165114,70670,25.00,2007-03-06,1083,97,Cash,Donation | Imported from RE | constituentId: 6202
165115,83183,10.00,2007-03-06,1082,77,Cash,Donation | Imported from RE | constituentId: 12575
165116,72231,100.00,2007-03-06,1082,85,Cash,Donation | Imported from RE | constituentId: 6289
165117,73956,100.00,2007-03-06,1082,85,Cash,Donation | Imported from RE | constituentId: 2206
165118,71694,20.00,2007-05-15,1082,74,Cash,Donation | Imported from RE | constituentId: 6245
165119,82590,300.00,2007-05-15,1082,109,Cash,Donation | Imported from RE | constituentId: 3262
165120,82587,50.00,2007-05-15,1082,109,Cash,Donation | Imported from RE | constituentId: 11795
165121,72231,225.00,2007-05-15,1082,80,Cash,Donation | Imported from RE | constituentId: 6289
165122,70449,19256.93,2007-05-15,1082,147,Cash,Donation | Imported from RE | constituentId: 12714
165123,84138,1000.00,2007-05-15,1082,89,Cash,Donation | Imported from RE | constituentId: 4640
165124,72358,250.00,2007-05-15,1082,89,Cash,Donation | Imported from RE | constituentId: 2141
165125,70700,200.00,2007-05-15,1082,89,Cash,Donation | Imported from RE | constituentId: 7386
165126,83111,1000.00,2007-05-15,1082,89,Cash,Donation | Imported from RE | constituentId: 5447
165127,85013,1000.00,2007-05-15,1082,89,Cash,Donation | Imported from RE | constituentId: 8680
165128,84608,200.00,2007-05-15,1082,89,Cash,Donation | Imported from RE | constituentId: 5633
165129,72715,25.00,2007-05-15,1082,80,Cash,GiftInKind | Imported from RE | constituentId: 2984
165130,86378,25.00,2007-05-16,1082,80,Cash,GiftInKind | Imported from RE | constituentId: 12472
165131,84727,50.00,2007-06-19,1082,74,Cash,Donation | Imported from RE | constituentId: 10603
165132,84521,100.00,2007-06-19,1082,85,Cash,Donation | Imported from RE | constituentId: 8000
165133,83962,100.00,2007-06-19,1082,85,Cash,Donation | Imported from RE | constituentId: 3579
165134,73871,1000.00,2007-06-19,1082,89,Cash,Donation | Imported from RE | constituentId: 12746
165135,70775,500.00,2007-06-19,1082,89,Cash,Donation | Imported from RE | constituentId: 6154
165136,72588,10000.00,2007-06-19,1082,89,Cash,Donation | Imported from RE | constituentId: 12748
165137,83279,300.00,2007-06-19,1082,109,Cash,Donation | Imported from RE | constituentId: 12752
165138,82615,300.00,2007-06-19,1082,109,Cash,Donation | Imported from RE | constituentId: 3278
165139,84887,25.00,2007-07-11,1082,76,Cash,Donation | Imported from RE | constituentId: 5932
165140,83700,100.00,2007-07-11,1082,76,Cash,Donation | Imported from RE | constituentId: 2993
165141,84136,50.00,2007-07-11,1082,80,Cash,Donation | Imported from RE | constituentId: 1129
165142,82737,50.00,2007-07-11,1082,85,Cash,Donation | Imported from RE | constituentId: 2085
165143,84460,500.00,2007-07-16,1082,80,Cash,GiftInKind | Imported from RE | constituentId: 12648
165144,70316,20.00,2007-07-17,1082,85,Cash,Donation | Imported from RE | constituentId: 12756
165145,74159,100.00,2007-07-17,1082,85,Cash,Donation | Imported from RE | constituentId: 46372
165146,85012,50.00,2007-07-17,1082,85,Cash,Donation | Imported from RE | constituentId: 2503
165147,72381,50.00,2007-07-17,1082,85,Cash,Donation | Imported from RE | constituentId: 127
165148,73359,50.00,2007-07-17,1082,85,Cash,Donation | Imported from RE | constituentId: 10948
165149,84398,50.00,2007-07-17,1082,85,Cash,Donation | Imported from RE | constituentId: 7979
165150,85077,100.00,2007-07-17,1082,85,Cash,Donation | Imported from RE | constituentId: 8514
165151,83700,100.00,2007-07-17,1083,97,Cash,Donation | Imported from RE | constituentId: 2993
165152,74131,350.00,2007-07-17,1082,108,Cash,Donation | Imported from RE | constituentId: 2384
165153,71246,600.00,2007-07-17,1082,108,Cash,Donation | Imported from RE | constituentId: 3527
165154,82605,300.00,2007-07-17,1082,109,Cash,Donation | Imported from RE | constituentId: 12495
165155,85013,350.00,2007-07-17,1082,108,Cash,Donation | Imported from RE | constituentId: 8680
165156,84887,30.00,2007-07-24,1082,85,Cash,GiftInKind | Imported from RE | constituentId: 5932
165157,71220,100.00,2007-08-01,1082,85,Cash,Donation | Imported from RE | constituentId: 12516
165158,72965,100.00,2007-08-01,1082,85,Cash,Donation | Imported from RE | constituentId: 2166
165159,85935,50.00,2007-08-01,1082,85,Cash,Donation | Imported from RE | constituentId: 12568
165160,70583,500.00,2007-08-01,,114,Cash,Donation | Imported from RE | constituentId: 4633
165161,83934,100.00,2007-08-03,1082,85,Cash,Donation | Imported from RE | constituentId: 12170
165162,72794,50.00,2007-08-03,1082,89,Cash,Donation | Imported from RE | constituentId: 11710
165163,85000,250.00,2007-09-10,1082,89,Cash,Donation | Imported from RE | constituentId: 7090
165164,71656,1.00,2007-09-10,1082,85,Cash,Donation | Imported from RE | constituentId: 2107
165165,70439,75.00,2007-10-24,1082,85,Cash,GiftInKind | Imported from RE | constituentId: 7604
165166,85761,500.00,2007-11-08,,132,BusinessCheck,Donation | Imported from RE | constituentId: 6446
165167,85686,1000.00,2007-11-08,,132,BusinessCheck,Donation | Imported from RE | constituentId: 6075
165168,73243,1000.00,2007-11-08,,132,BusinessCheck,Donation | Imported from RE | constituentId: 9333
165169,85792,500.00,2007-11-08,,132,BusinessCheck,Donation | Imported from RE | constituentId: 12430
165170,73399,500.00,2007-11-08,,132,BusinessCheck,Donation | Imported from RE | constituentId: 12056
165171,73403,1000.00,2007-11-14,,132,BusinessCheck,Donation | Imported from RE | constituentId: 12047
165172,85760,500.00,2007-11-14,,132,BusinessCheck,Donation | Imported from RE | constituentId: 3662
165173,73198,150.00,2007-11-28,1082,80,PersonalCheck,Donation | Imported from RE | constituentId: 2175
165174,84049,500.00,2007-12-05,,132,BusinessCheck,Donation | Imported from RE | constituentId: 12647
165175,85774,3000.00,2007-12-05,,132,BusinessCheck,Donation | Imported from RE | constituentId: 3668
165176,86089,500.00,2007-12-05,,132,BusinessCheck,Donation | Imported from RE | constituentId: 12504
165177,85787,500.00,2007-12-05,,132,BusinessCheck,Donation | Imported from RE | constituentId: 3674
165178,70204,500.00,2007-12-05,,132,BusinessCheck,Donation | Imported from RE | constituentId: 12418
165179,85385,160.00,2007-12-05,,132,BusinessCheck,Donation | Imported from RE | constituentId: 9420
165180,70449,22151.65,2007-12-06,1082,147,Cash,Donation | Imported from RE | constituentId: 12714
165181,70449,38364.22,2007-12-06,1082,147,Cash,Donation | Imported from RE | constituentId: 12714
165182,73970,1000.00,2007-12-07,,132,BusinessCheck,Donation | Imported from RE | constituentId: 5194
165183,70940,10000.00,2007-12-18,,132,Cash,Donation | Imported from RE | constituentId: 3343
165184,70579,500.00,2007-12-18,,132,Cash,Donation | Imported from RE | constituentId: 12584
165185,73884,200.00,2007-12-18,,132,Cash,Donation | Imported from RE | constituentId: 12416
165186,72392,250.00,2007-12-28,1082,80,Cash,Donation | Imported from RE | constituentId: 129
165187,85432,5500.00,2008-01-08,,132,Cash,Donation | Imported from RE | constituentId: 12518
165188,84713,300.00,2008-01-08,1082,87,Cash,Donation | Imported from RE | constituentId: 9481
165189,86488,150.00,2008-01-08,1082,87,Cash,Donation | Imported from RE | constituentId: 12799
165190,70478,300.00,2008-01-08,1082,87,Cash,Donation | Imported from RE | constituentId: 12800
165191,82943,300.00,2008-01-08,1082,87,Cash,Donation | Imported from RE | constituentId: 12806
165192,72339,150.00,2008-01-08,1082,87,Cash,Donation | Imported from RE | constituentId: 12807
165193,83524,150.00,2008-01-08,1082,87,Cash,Donation | Imported from RE | constituentId: 12809
165194,72556,150.00,2008-01-08,1082,87,Cash,Donation | Imported from RE | constituentId: 12814
165195,84668,150.00,2008-01-08,1082,87,Cash,Donation | Imported from RE | constituentId: 12816
165196,83716,50.00,2008-01-15,1082,85,Cash,Donation | Imported from RE | constituentId: 1077
165197,73740,100.00,2008-01-15,1082,85,Cash,Donation | Imported from RE | constituentId: 235
165198,70558,200.00,2008-01-15,1082,80,Cash,Donation | Imported from RE | constituentId: 11975
165199,83962,100.00,2008-01-15,1085,89,Cash,Donation | Imported from RE | constituentId: 3579
165200,72231,500.00,2008-01-15,1085,80,Cash,Donation | Imported from RE | constituentId: 6289
165201,82864,50.00,2008-01-15,1085,74,Cash,Donation | Imported from RE | constituentId: 1013
165202,72757,50.00,2008-01-15,1082,80,Cash,Donation | Imported from RE | constituentId: 8568
165203,73956,100.00,2008-01-15,1085,74,Cash,Donation | Imported from RE | constituentId: 2206
165204,74159,100.00,2008-01-15,1085,74,Cash,Donation | Imported from RE | constituentId: 46372
165205,74131,500.00,2008-01-15,1085,74,Cash,Donation | Imported from RE | constituentId: 2384
165206,70919,10.00,2008-01-15,1085,74,Cash,Donation | Imported from RE | constituentId: 4250
165207,83097,25.00,2008-01-18,1085,74,Cash,Donation | Imported from RE | constituentId: 12514
165208,71694,50.00,2008-01-18,1085,74,Cash,Donation | Imported from RE | constituentId: 6245
165209,70670,25.00,2008-01-18,1085,74,Cash,Donation | Imported from RE | constituentId: 6202
165210,84447,25.00,2008-01-18,1085,74,Cash,Donation | Imported from RE | constituentId: 2767
165211,73821,10.00,2008-01-18,1085,74,Cash,Donation | Imported from RE | constituentId: 5355
165212,73725,250.00,2008-01-21,,132,Cash,Donation | Imported from RE | constituentId: 2378
165213,86726,25.00,2008-02-05,1085,74,Cash,Donation | Imported from RE | constituentId: 12523
165214,85756,1000.00,2008-02-22,,132,Cash,Donation | Imported from RE | constituentId: 12592
165215,84222,500.00,2008-02-22,,132,Cash,Donation | Imported from RE | constituentId: 6074
165216,73853,100.00,2008-02-26,1082,89,Cash,Donation | Imported from RE | constituentId: 12826
165217,72947,75.00,2008-03-10,1082,80,Cash,Donation | Imported from RE | constituentId: 5424
165218,84608,250.00,2008-03-14,1082,89,Cash,Donation | Imported from RE | constituentId: 5633
165219,73871,1000.00,2008-03-14,1082,89,Cash,Donation | Imported from RE | constituentId: 12746
165220,72358,250.00,2008-03-21,1082,89,Cash,Donation | Imported from RE | constituentId: 2141
165221,84138,1000.00,2008-03-31,1082,89,Cash,Donation | Imported from RE | constituentId: 4640
165222,82587,50.00,2008-04-04,1082,109,Cash,Donation | Imported from RE | constituentId: 11795
165223,74158,100.00,2008-04-04,1083,97,Cash,Donation | Imported from RE | constituentId: 8111
165224,83325,4000.00,2008-05-19,1082,89,BusinessCheck,Donation | Imported from RE | constituentId: 5207
165225,82605,300.00,2008-05-19,1082,109,Cash,Donation | Imported from RE | constituentId: 12495
165226,70775,500.00,2008-05-19,1082,89,Cash,Donation | Imported from RE | constituentId: 6154
165227,72588,5000.00,2008-05-19,1082,89,Cash,Donation | Imported from RE | constituentId: 12748
165228,84460,50.00,2008-05-19,1082,80,Cash,Donation | Imported from RE | constituentId: 12648
165229,72071,25.00,2008-05-19,1082,85,Cash,Donation | Imported from RE | constituentId: 2128
165230,74159,50.00,2008-05-19,1082,85,Cash,Donation | Imported from RE | constituentId: 46372
165231,72236,200.00,2008-05-28,1082,85,Cash,Donation | Imported from RE | constituentId: 115
165232,82615,600.00,2008-05-28,1082,109,Cash,Donation | Imported from RE | constituentId: 3278
165233,82612,100.00,2008-05-28,1082,109,Cash,Donation | Imported from RE | constituentId: 6499
165234,73740,100.00,2008-05-28,1082,85,Cash,Donation | Imported from RE | constituentId: 235
165235,71220,50.00,2008-05-28,1082,85,Cash,Donation | Imported from RE | constituentId: 12516
165236,70558,50.00,2008-05-28,1082,85,Cash,Donation | Imported from RE | constituentId: 11975
165237,83700,300.00,2008-05-30,1082,76,Cash,Donation | Imported from RE | constituentId: 2993
165238,84887,25.00,2008-05-30,1082,76,Cash,Donation | Imported from RE | constituentId: 5932
165239,84887,30.00,2008-05-30,1082,80,Cash,GiftInKind | Imported from RE | constituentId: 5932
165240,72231,100.00,2008-06-03,1082,85,Cash,Donation | Imported from RE | constituentId: 6289
165241,84398,50.00,2008-06-03,1082,85,Cash,Donation | Imported from RE | constituentId: 7979
165242,86194,100.00,2008-06-30,1082,85,Cash,Donation | Imported from RE | constituentId: 3775
165243,83702,100.00,2008-06-30,1082,85,Cash,Donation | Imported from RE | constituentId: 3397
165244,71246,600.00,2008-07-02,1082,108,Cash,Donation | Imported from RE | constituentId: 3527
165245,70558,75.00,2008-07-02,1082,80,Cash,GiftInKind | Imported from RE | constituentId: 11975
165246,70558,40.00,2008-07-08,1082,85,Cash,Donation | Imported from RE | constituentId: 11975
165247,86408,25.00,2008-07-08,1082,85,Cash,Donation | Imported from RE | constituentId: 3793
165248,70439,50.00,2008-07-15,1082,85,Cash,Donation | Imported from RE | constituentId: 7604
165249,73198,150.00,2008-07-23,1082,85,Cash,Donation | Imported from RE | constituentId: 2175
165250,73368,2000.00,2008-07-29,1082,85,Cash,Donation | Imported from RE | constituentId: 223
165251,86690,30.00,2008-08-04,1082,85,Cash,Donation | Imported from RE | constituentId: 12686
165252,84460,300.00,2008-08-04,1082,80,Cash,GiftInKind | Imported from RE | constituentId: 12648
165253,70690,20.00,2008-08-08,1082,80,Cash,Donation | Imported from RE | constituentId: 14354
165254,73859,248.00,2008-08-18,1082,80,Cash,GiftInKind | Imported from RE | constituentId: 14359
165255,85077,100.00,2008-08-28,1082,85,Cash,Donation | Imported from RE | constituentId: 8514
165256,85744,500.00,2008-11-12,,132,Cash,Donation | Imported from RE | constituentId: 3653
165257,73404,500.00,2008-11-12,,132,Cash,Donation | Imported from RE | constituentId: 12769
165258,85686,1000.00,2008-11-12,,132,Cash,Donation | Imported from RE | constituentId: 6075
165259,73399,500.00,2008-11-12,,132,Cash,Donation | Imported from RE | constituentId: 12056
165260,73500,60.00,2008-11-14,1082,80,Cash,GiftInKind | Imported from RE | constituentId: 14374
165261,85906,200.00,2008-11-14,1082,80,Cash,GiftInKind | Imported from RE | constituentId: 14376
165262,70940,10000.00,2008-11-25,,132,Cash,Donation | Imported from RE | constituentId: 3343
165263,72450,10.00,2008-11-25,,132,Cash,Donation | Imported from RE | constituentId: 14380
165264,73397,400.00,2008-11-25,,132,Cash,Donation | Imported from RE | constituentId: 12768
165265,70572,500.00,2008-11-25,,132,Cash,Donation | Imported from RE | constituentId: 2388
